"year","NUTS 3 CODE 2021","vald_clean","vald","type","LAU CODE","NUTS 3 CODE 2016","number","median_price_final","average_price_final"
2003,"EE001","anija vald","Anija vald","flat",141,"EE001",23,207.64,202.69
2003,"EE001","harku vald","Harku vald","flat",198,"EE001",44,550.27,509.85
2003,"EE001","joelahtme vald","Jõelähtme vald","flat",245,"EE001",25,419.95,415.85
2003,"EE001","keila linn","Keila linn","flat",296,"EE001",90,433.19,423.61
2003,"EE001","kiili vald","Kiili vald","flat",304,"EE001",12,439.15,400.07
2003,"EE001","kose vald","Kose vald","flat",338,"EE001",30,241.84,231.23
2003,"EE001","kuusalu vald","Kuusalu vald","flat",353,"EE001",14,194.72,189.97
2003,"EE001","laaneharju vald","Lääne-Harju vald","flat",431,"EE001",125,193.08,195.9
2003,"EE001","loksa linn","Loksa linn","flat",424,"EE001",24,118.34,127.5
2003,"EE001","maardu linn","Maardu linn","flat",446,"EE001",216,342.03,327.85
2003,"EE001","raasiku vald","Raasiku vald","flat",651,"EE001",9,264.64,280.13
2003,"EE001","rae vald","Rae vald","flat",653,"EE001",35,456.51,479.72
2003,"EE001","saku vald","Saku vald","flat",718,"EE001",27,494.71,495.99
2003,"EE001","saue vald","Saue vald","flat",726,"EE001",101,569.58,547.12
2003,"EE001","tallinn","Tallinn","flat",784,"EE001",3874,575.78,624.82
2003,"EE001","viimsi vald","Viimsi vald","flat",890,"EE001",57,664.02,684.22
2003,"EE004","haademeeste vald","Häädemeeste vald","flat",214,"EE004",NA,221.200450268902,160.524606440121
2003,"EE004","haapsalu linn","Haapsalu linn","flat",184,"EE004",91,249.35,238.55
2003,"EE004","hiiumaa vald","Hiiumaa vald","flat",205,"EE004",23,125.24,157.21
2003,"EE004","kihnu vald","Kihnu vald","flat",303,"EE004",NA,187.295,195.1575
2003,"EE004","laanenigula vald","Lääne-Nigula vald","flat",441,"EE004",21,79.46,81.79
2003,"EE004","laaneranna vald","Lääneranna vald","flat",430,"EE004",NA,49.3590510976485,43.901157624752
2003,"EE004","muhu vald","Muhu vald","flat",478,"EE004",NA,175.961061462451,139.737298035584
2003,"EE004","parnu linn","Pärnu linn","flat",624,"EE004",NA,531.395335717974,436.580484784707
2003,"EE004","pohjaparnumaa vald","Põhja-Pärnumaa vald","flat",638,"EE004",NA,100.959122007129,94.4533460723961
2003,"EE004","ruhnu vald","Ruhnu vald","flat",689,"EE004",NA,187.295,195.1575
2003,"EE004","saarde vald","Saarde vald","flat",712,"EE004",NA,91.1882756275426,75.3094079264177
2003,"EE004","saaremaa vald","Saaremaa vald","flat",714,"EE004",133,321.49,303.08
2003,"EE004","tori vald","Tori vald","flat",809,"EE004",NA,474.020510598637,319.260364982978
2003,"EE004","vormsi vald","Vormsi vald","flat",907,"EE004",NA,187.295,195.1575
2003,"EE008","antsla vald","Antsla vald","flat",142,"EE008",4,19.7544364508393,31.4019718155568
2003,"EE008","elva vald","Elva vald","flat",171,"EE008",55,154.62,175.28
2003,"EE008","jogeva vald","Jõgeva vald","flat",247,"EE008",108,21.95,26.22
2003,"EE008","kambja vald","Kambja vald","flat",283,"EE008",34,311.85,307.42
2003,"EE008","kanepi vald","Kanepi vald","flat",284,"EE008",19,36.73,36.37
2003,"EE008","kastre vald","Kastre vald","flat",291,"EE008",10,105.02,104.59
2003,"EE008","luunja vald","Luunja vald","flat",432,"EE008",14,386.95,336.76
2003,"EE008","mulgi vald","Mulgi vald","flat",480,"EE008",7,28.36,25.3
2003,"EE008","mustvee vald","Mustvee vald","flat",486,"EE008",2,9.53151558752998,36.6249528420219
2003,"EE008","noo vald","Nõo vald","flat",528,"EE008",12,205.04,191.41
2003,"EE008","otepaa vald","Otepää vald","flat",557,"EE008",16,142.28,152.27
2003,"EE008","peipsiaare vald","Peipsiääre vald","flat",586,"EE008",15,47.08,49.52
2003,"EE008","pohjasakala vald","Põhja-Sakala vald","flat",615,"EE008",17,22.96,32.02
2003,"EE008","poltsamaa vald","Põltsamaa vald","flat",618,"EE008",43,39.05,42.45
2003,"EE008","polva vald","Põlva vald","flat",622,"EE008",80,58.84,66.84
