"municipality","year","type","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"alutaguse vald","2000","all",3111,"EE00A","EE007",130
"alutaguse vald","2011","all",2280,"EE00A","EE007",130
"alutaguse vald","2021","all",3149,"EE00A","EE007",130
"alutaguse vald","2000","house",2046,"EE00A","EE007",130
"alutaguse vald","2011","house",1435,"EE00A","EE007",130
"alutaguse vald","2021","house",2224,"EE00A","EE007",130
"alutaguse vald","2000","flat",984,"EE00A","EE007",130
"alutaguse vald","2011","flat",840,"EE00A","EE007",130
"alutaguse vald","2021","flat",894,"EE00A","EE007",130
"anija vald","2000","all",3524,"EE001","EE001",141
"anija vald","2011","all",3430,"EE001","EE001",141
"anija vald","2021","all",3633,"EE001","EE001",141
"anija vald","2000","house",1503,"EE001","EE001",141
"anija vald","2011","house",1452,"EE001","EE001",141
"anija vald","2021","house",1675,"EE001","EE001",141
"anija vald","2000","flat",1958,"EE001","EE001",141
"anija vald","2011","flat",1972,"EE001","EE001",141
"anija vald","2021","flat",1928,"EE001","EE001",141
"antsla vald","2000","all",2676,"EE008","EE008",142
"antsla vald","2011","all",2452,"EE008","EE008",142
"antsla vald","2021","all",2669,"EE008","EE008",142
"antsla vald","2000","house",1729,"EE008","EE008",142
"antsla vald","2011","house",1619,"EE008","EE008",142
"antsla vald","2021","house",1704,"EE008","EE008",142
"antsla vald","2000","flat",878,"EE008","EE008",142
"antsla vald","2011","flat",823,"EE008","EE008",142
"antsla vald","2021","flat",915,"EE008","EE008",142
"elva vald","2000","all",7572,"EE008","EE008",171
"elva vald","2011","all",6962,"EE008","EE008",171
"elva vald","2021","all",7884,"EE008","EE008",171
"elva vald","2000","house",3996,"EE008","EE008",171
"elva vald","2011","house",3635,"EE008","EE008",171
"elva vald","2021","house",4318,"EE008","EE008",171
"elva vald","2000","flat",3377,"EE008","EE008",171
"elva vald","2011","flat",3306,"EE008","EE008",171
"elva vald","2021","flat",3469,"EE008","EE008",171
"haapsalu linn","2000","all",7579,"EE004","EE004",184
"haapsalu linn","2011","all",7556,"EE004","EE004",184
"haapsalu linn","2021","all",8224,"EE004","EE004",184
"haapsalu linn","2000","house",2182,"EE004","EE004",184
"haapsalu linn","2011","house",2190,"EE004","EE004",184
"haapsalu linn","2021","house",2545,"EE004","EE004",184
"haapsalu linn","2000","flat",5262,"EE004","EE004",184
"haapsalu linn","2011","flat",5348,"EE004","EE004",184
"haapsalu linn","2021","flat",5501,"EE004","EE004",184
"haljala vald","2000","all",2919,"EE009","EE006",191
"haljala vald","2011","all",2833,"EE009","EE006",191
"haljala vald","2021","all",3158,"EE009","EE006",191
"haljala vald","2000","house",1883,"EE009","EE006",191
"haljala vald","2011","house",1960,"EE009","EE006",191
"haljala vald","2021","house",2132,"EE009","EE006",191
"haljala vald","2000","flat",976,"EE009","EE006",191
"haljala vald","2011","flat",861,"EE009","EE006",191
"haljala vald","2021","flat",974,"EE009","EE006",191
"harku vald","2000","all",2524,"EE001","EE001",198
"harku vald","2011","all",5478,"EE001","EE001",198
"harku vald","2021","all",7125,"EE001","EE001",198
"harku vald","2000","house",1120,"EE001","EE001",198
"harku vald","2011","house",3050,"EE001","EE001",198
"harku vald","2021","house",3921,"EE001","EE001",198
"harku vald","2000","flat",1354,"EE001","EE001",198
"harku vald","2011","flat",2423,"EE001","EE001",198
"harku vald","2021","flat",3168,"EE001","EE001",198
"hiiumaa vald","2000","all",5004,"EE004","EE004",205
"hiiumaa vald","2011","all",4938,"EE004","EE004",205
"hiiumaa vald","2021","all",5467,"EE004","EE004",205
"hiiumaa vald","2000","house",3027,"EE004","EE004",205
"hiiumaa vald","2011","house",3069,"EE004","EE004",205
"hiiumaa vald","2021","house",3627,"EE004","EE004",205
"hiiumaa vald","2000","flat",1910,"EE004","EE004",205
"hiiumaa vald","2011","flat",1860,"EE004","EE004",205
"hiiumaa vald","2021","flat",1763,"EE004","EE004",205
"häädemeeste vald","2000","all",2251,"EE004","EE004",214
"häädemeeste vald","2011","all",2333,"EE004","EE004",214
"häädemeeste vald","2021","all",2633,"EE004","EE004",214
"häädemeeste vald","2000","house",1586,"EE004","EE004",214
"häädemeeste vald","2011","house",1714,"EE004","EE004",214
"häädemeeste vald","2021","house",1919,"EE004","EE004",214
"häädemeeste vald","2000","flat",623,"EE004","EE004",214
"häädemeeste vald","2011","flat",613,"EE004","EE004",214
"häädemeeste vald","2021","flat",653,"EE004","EE004",214
"järva vald","2000","all",5737,"EE009","EE006",255
"järva vald","2011","all",5238,"EE009","EE006",255
"järva vald","2021","all",5758,"EE009","EE006",255
"järva vald","2000","house",3094,"EE009","EE006",255
"järva vald","2011","house",2966,"EE009","EE006",255
"järva vald","2021","house",3086,"EE009","EE006",255
"järva vald","2000","flat",2498,"EE009","EE006",255
"järva vald","2011","flat",2242,"EE009","EE006",255
"järva vald","2021","flat",2570,"EE009","EE006",255
"jõelähtme vald","2000","all",2241,"EE001","EE001",245
"jõelähtme vald","2011","all",2940,"EE001","EE001",245
